2018-11-21 16:03:30,158 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-11-21 16:04:23,261 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.bittiger:elasticDB:1.0-SNAPSHOT @ /Users/apple/IdeaProjects/elasticDB/pom.xml.
2018-11-21 16:04:26,854 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish:javax.el:jar:3.0.1-b06-SNAPSHOT is missing, no dependency information available
2018-11-21 16:04:26,887 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish:javax.el:jar:3.0.1-b07-SNAPSHOT is missing, no dependency information available
2018-11-21 16:04:26,896 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish:javax.el:jar:3.0.1-b08-SNAPSHOT is missing, no dependency information available
2018-11-21 16:04:28,297 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /elasticDB/src/main/java
2018-11-21 16:04:28,298 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /elasticDB/src/main/resources
2018-11-21 16:04:28,299 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /elasticDB/src/test/java
2018-11-21 16:04:30,061 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 8 sec
2018-11-21 16:04:34,037 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish:javax.el:jar:3.0.1-b06-SNAPSHOT is missing, no dependency information available
2018-11-21 16:04:34,049 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish:javax.el:jar:3.0.1-b07-SNAPSHOT is missing, no dependency information available
2018-11-21 16:04:34,055 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish:javax.el:jar:3.0.1-b08-SNAPSHOT is missing, no dependency information available
2018-11-21 16:04:34,381 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:04:34,387 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-21 16:04:34,404 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:04:34,406 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/apple/IdeaProjects/elasticDB/src/test/resources
2018-11-21 16:06:49,737 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:06:49,743 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:06:49,751 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:06:49,752 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/apple/IdeaProjects/elasticDB/src/test/resources
